country,2020,2021,2022,2023,2024
ABW,0.0,0.0,1.32009e-05,0.0,0.0
AFG,0.009135041,0.064327733,0.00570937,0.00224135,0.001822307
AGO,0.000291544,0.000846418,0.000231015,0.000255593,0.000186061
AIA,0.0,0.0,6.60043e-06,3.27683e-06,1.09448e-05
ALB,0.003190786,0.003174066,0.00231015,0.002054571,0.001970062
AND,0.000242953,0.0,0.000237615,0.000288361,0.000300982
ANT,0.0,0.000211604,0.0,0.0,5.47239e-06
ARE,0.012163858,0.021795252,0.023919949,0.027771109,0.013724766
ARG,0.045723797,0.020525625,0.016052239,0.020191808,0.024828254
ARM,0.002980226,0.001692835,0.00170291,0.003601233,0.003332688
ATA,1.61969e-05,0.0,1.32009e-05,6.55365e-06,5.47239e-06
ATG,0.000793647,0.000423209,0.00092406,0.000904404,0.000607436
AUS,1.379132067,0.40204833,1.183951668,1.340536804,1.16862987
AUT,0.061159425,0.048034195,0.046374603,0.047048682,0.046394962
AZE,0.005215396,0.009098989,0.004257276,0.005609928,0.006616125
BDI,6.47875e-05,0.002539253,0.000204613,0.0002687,0.000153227
BEL,0.072740195,0.052901096,0.060367509,0.068878903,0.069346185
BEN,0.00025915,0.000423209,0.000422427,0.000521015,0.000426847
BFA,0.000210559,0.000423209,0.000277218,0.000301468,0.000328344
BGD,0.934074157,1.705742943,1.578452614,2.082570993,1.231190285
BGR,0.022627043,0.031105845,0.010290066,0.011894882,0.01544857
BHR,0.009637145,0.005713318,0.008903977,0.009109579,0.006364395
BHS,0.000226756,0.0,0.000330021,0.000389942,0.000311926
BIH,0.003871055,0.011849846,0.002686374,0.002634569,0.002927731
BLR,0.020391874,0.002539253,0.008976581,0.016764247,0.01855689
BLZ,0.000340135,0.001269626,0.000336622,0.000458756,0.000322871
BMU,0.0,0.0,0.0,3.27683e-06,1.64172e-05
BOL,0.001198569,0.000423209,0.001161675,0.002041463,0.000957669
BRA,0.067119877,0.064327733,0.046031381,0.049607883,0.051002718
BRB,0.000340135,0.001058022,0.000336622,0.000291638,0.000355706
BRN,3.041579986,0.880697448,2.628890836,3.647845698,4.84459056
BTN,0.002170382,0.003597275,0.002204543,0.002205305,0.00313021
BVT,0.0,0.0,0.0,3.27683e-06,0.0
BWA,0.000890828,0.001904439,0.000818453,0.00075367,0.000547239
CAF,1.61969e-05,0.000423209,6.60043e-06,2.62146e-05,5.47239e-06
CAN,0.317037759,0.170129925,0.240321562,0.277770068,0.276689744
CCK,0.0,0.0,1.32009e-05,0.0,5.47239e-06
CHE,0.097877755,0.061153667,0.080538415,0.087140659,0.083979368
CHL,0.02134749,0.007829362,0.008257135,0.011501663,0.015218729
CHN,6.394739382,3.2915062,1.942578394,5.445165627,8.983565086
CIV,0.000955616,0.002539253,0.001201278,0.001002709,0.000689522
CMR,0.001344341,0.00529011,0.001260682,0.001179658,0.001012393
COD,0.0005183,0.003174066,0.000455429,0.000560337,0.000782552
COG,0.000113378,0.000211604,0.000105607,0.000180225,9.30307e-05
COK,0.0,0.0,0.0,3.27683e-06,0.0
COL,0.007353384,0.016081933,0.008230733,0.009368448,0.009007562
COM,0.000793647,0.005078505,0.000699645,0.00081593,0.000651215
CPV,0.000178166,0.0,0.00015181,0.000104858,9.85031e-05
CRI,0.003109801,0.019255999,0.002963592,0.003021234,0.003365523
CUB,0.001571098,0.000846418,0.001399291,0.001091183,0.001149203
CYP,0.003028817,0.001692835,0.003214408,0.003624171,0.003048124
CZE,0.077323912,0.018621186,0.025754868,0.031876973,0.038695302
DEU,0.5043223,0.319945829,0.450650782,0.474212568,0.513124553
DJI,0.000631678,0.010791824,0.000805252,0.000465309,0.000459681
DMA,0.001895035,0.004232088,0.001636906,0.00198248,0.00205762
DNK,0.11031696,0.070041051,0.061317971,0.062521858,0.066374674
DOM,0.001052797,0.000211604,0.000838254,0.001287793,0.000689522
DZA,0.033883876,0.033433493,0.024421581,0.038712434,0.024997899
ECU,0.003336558,0.001692835,0.003016395,0.0034079,0.003321744
EGY,0.112584523,0.272758052,0.094597326,0.084112871,0.071754038
ERI,0.001052797,0.002962461,0.000752449,0.000711071,0.000700467
ESP,0.123290662,0.081256084,0.16646938,0.160145087,0.129214182
EST,0.022918587,0.005713318,0.006679633,0.010915111,0.013516815
ETH,0.00176546,0.010791824,0.001966927,0.001546662,0.001483019
FIN,0.093180659,0.038723602,0.031622648,0.033246686,0.03907837
FJI,0.006235799,0.002116044,0.006125197,0.008778619,0.007491708
FRA,0.549705962,0.418341868,0.462399543,0.464745815,0.482533868
FSM,4.85906e-05,0.0,1.32009e-05,4.91524e-05,4.92516e-05
GAB,0.00025915,0.001692835,0.000448829,0.000439095,0.000333816
GBR,1.217616765,1.059503153,1.082456896,1.067108531,1.151309741
GEO,0.003158392,0.009522197,0.002541165,0.002634569,0.002774504
GHA,0.003077407,0.017774768,0.003346417,0.003571741,0.003890873
GIB,0.0,0.0,6.60043e-06,3.27683e-06,0.0
GIN,0.003093604,0.019890812,0.002409156,0.002359315,0.002068565
GLP,1.61969e-05,0.0,0.0,0.0,0.0
GMB,0.002818257,0.004020483,0.00108247,0.001035477,0.000935779
GNB,0.000129575,0.0,1.98013e-05,2.94914e-05,3.28344e-05
GNQ,0.000145772,0.002539253,5.28034e-05,6.22597e-05,7.66135e-05
GRC,0.015808156,0.022853274,0.011062316,0.013903577,0.013702876
GRD,0.000971813,0.000846418,0.000904259,0.00074384,0.000530822
GRL,0.0,0.0,0.0,6.55365e-06,1.09448e-05
GTM,0.000745057,0.000634813,0.00077885,0.00155977,0.001006921
GUY,0.000291544,0.0,0.000184812,0.000298191,0.000328344
HKG,0.001603491,0.036819163,0.00910859,0.033898775,0.085599197
HMD,0.0,0.0,0.0,3.27683e-06,0.0
HND,0.00124716,0.002750857,0.000752449,0.000871636,0.000793497
HRV,0.016213078,0.072157095,0.008382543,0.009184946,0.009828421
HTI,0.000242953,0.000211604,0.00030362,0.000298191,0.000476098
HUN,0.060965062,0.019890812,0.021986024,0.026267045,0.03491935
IDN,12.83167164,4.242244699,11.49819538,12.23836216,11.9775286
IND,3.265793417,3.065089509,3.11755348,3.049244778,3.97348384
IOT,0.0,0.0,1.32009e-05,1.63841e-05,1.64172e-05
IRL,0.075526059,0.052054679,0.073000727,0.073345218,0.073045523
IRN,0.152849971,0.160607728,0.066987738,0.078634017,0.091514855
IRQ,0.065143857,0.148546278,0.046658421,0.045266088,0.047166569
ISL,0.004405552,0.000846418,0.00185472,0.001867791,0.001696442
ISR,0.0,0.0,4.6203e-05,6.55365e-06,3.83068e-05
ITA,0.182911383,0.146853443,0.155360861,0.190504889,0.165315569
JAM,0.001328144,0.001269626,0.000805252,0.000999432,0.001105424
JOR,0.042452026,0.089508655,0.035681911,0.034603293,0.030355373
JPN,1.599846972,1.442507089,0.838366489,1.061855778,1.001792975
KAZ,0.128587042,0.051208261,0.023556925,0.033580923,0.094552034
KEN,0.016634197,0.054593931,0.01714131,0.020493276,0.018726534
KGZ,0.021250309,0.012484659,0.0092604,0.010118842,0.017030092
KHM,0.335437416,0.085276567,0.325605685,0.316685665,0.235674146
KIR,0.000647875,0.008464175,3.30021e-05,6.22597e-05,6.56687e-05
KNA,0.002202776,0.001269626,0.003722641,0.003712645,0.002686946
KOR,2.273426684,1.131660248,1.240490929,1.457073878,1.527471202
KWT,0.023987582,0.012273054,0.030757992,0.042081012,0.02036278
LAO,0.107644475,0.117228829,0.063113287,0.078522605,0.078671145
LBN,0.010349807,0.01544712,0.011445141,0.011521324,0.011924348
LBR,0.000404922,0.004866901,0.000547835,0.000353897,0.000268147
LBY,0.03017479,0.12886707,0.017484532,0.014404931,0.010983096
LCA,0.000550694,0.000634813,0.000640241,0.000740563,0.000645743
LIE,0.000404922,0.000634813,0.000349823,0.000317852,0.000344761
LKA,0.167929268,0.175631639,0.198342844,0.21716843,0.170651154
LSO,0.000226756,0.000423209,0.000343222,0.000203163,0.000240785
LTU,0.022092546,0.013331076,0.010593686,0.018500965,0.030590686
LUX,0.002380942,0.002116044,0.002277147,0.002785303,0.0028347
LVA,0.015257462,0.01015701,0.005649966,0.009260313,0.011519391
MAC,0.0,0.0,0.000105607,0.000271977,0.000180589
MAR,0.037852112,0.025604131,0.034012002,0.044423943,0.040408162
MCO,0.000178166,0.000634813,0.000145209,0.000111412,0.000180589
MDA,0.002267563,0.000634813,0.001267282,0.001451634,0.00166908
MDG,0.002348548,0.000634813,0.001181477,0.003879763,0.003557056
MDV,0.082879443,0.200600956,0.133520046,0.108898791,0.113836753
MEX,0.026741051,0.025392526,0.02702215,0.034541033,0.032484134
MHL,0.000161969,0.000423209,0.000118808,0.000180225,0.000142282
MKD,0.002089398,0.002327648,0.001353088,0.001897283,0.002232737
MLI,0.000502103,0.004020483,0.000349823,0.000517739,0.000383068
MLT,0.002202776,0.002750857,0.002818383,0.002696829,0.00235313
MMR,0.596191012,0.350840069,0.494550225,0.513462401,0.497123272
MNE,0.001263357,0.016081933,0.000561036,0.00061932,0.000744246
MNG,0.0223355,0.004020483,0.018930026,0.023049201,0.027985826
MNP,3.23938e-05,0.0,0.0,3.27683e-06,0.0
MOZ,0.001911232,0.010791824,0.001346487,0.001104291,0.001346209
MRT,0.001166175,0.008887384,0.001425692,0.000851975,0.000842749
MUS,0.039520391,0.03089424,0.042797171,0.073817081,0.055172683
MWI,0.001085191,0.006559736,0.001148474,0.000842145,0.000727828
MYT,1.61969e-05,0.0,0.0,3.27683e-06,0.0
NAM,0.001004207,0.004020483,0.00076565,0.001071522,0.00050346
NCL,0.0,0.0,6.60043e-06,0.0,5.47239e-06
NER,0.000194363,0.000423209,0.00015181,0.000117966,9.30307e-05
NGA,0.034531751,0.268102755,0.025213633,0.017832492,0.015820693
NIC,0.000437316,0.001692835,0.000409226,0.0002687,0.000350233
NLD,0.276075845,0.183037793,0.244176212,0.262106835,0.217352569
NOR,0.06757339,0.050785052,0.038896319,0.039335031,0.042126494
NPL,0.54353495,0.239536163,1.187397091,0.542796556,0.380096113
NRU,4.85906e-05,0.0,5.94038e-05,0.000255593,6.56687e-05
NZL,0.17518547,0.064539337,0.144668168,0.174513974,0.147530286
OMN,0.054696869,0.03957002,0.048064312,0.063698239,0.050307724
PAK,0.592951635,1.096745525,0.582553724,0.516998098,0.369621949
PAN,0.001959823,0.004443692,0.000910859,0.001376267,0.001351681
PER,0.008228016,0.004655296,0.00586778,0.007412183,0.006451953
PHL,1.571275673,1.658978374,1.546895971,1.673082312,1.630089546
PLW,0.0,0.0,9.90064e-05,7.86438e-05,9.85031e-05
PNG,0.003239376,0.002539253,0.002970192,0.003735583,0.003923707
POL,0.135827048,0.07575437,0.063667723,0.079017405,0.105250566
PRI,0.0,0.0,0.0,0.0,5.47239e-06
PRK,0.000129575,0.000211604,0.0,0.0,0.0
PRT,0.036086652,0.031952262,0.038361684,0.039715143,0.041743426
PRY,0.000566891,0.0,0.000481831,0.000740563,0.000705939
PSE,0.019679211,0.0531127,0.016230451,0.014234536,0.010835341
QAT,0.003725283,0.010580219,0.009082188,0.008929353,0.005510701
REU,0.0,0.0,0.0,6.55365e-06,0.0
ROU,0.05053427,0.070675864,0.029272896,0.035009619,0.040534027
RUS,0.545413788,0.202082187,0.268835409,0.436574933,0.397580414
RWA,0.000307741,0.003174066,0.000389425,0.000478417,0.000317399
SAU,0.398346104,0.242710229,0.256070182,0.186513714,0.166634416
SDN,0.049789214,0.146430234,0.048942169,0.04162881,0.036686933
SEN,0.002850651,0.010580219,0.001511498,0.002929483,0.002462578
SGP,44.99203761,3.74370477,55.37119022,48.77790247,46.11286507
SGS,0.0,0.000211604,2.64017e-05,6.55365e-06,0.0
SHN,0.0,0.0,0.0,3.27683e-06,5.47239e-06
SLB,0.00072886,0.000423209,0.000481831,0.000678303,0.000722356
SLE,0.00197602,0.004443692,0.000897658,0.000966664,0.000902945
SLV,0.000874632,0.000423209,0.000541235,0.000819207,0.000716884
SMR,0.000129575,0.000211604,5.28034e-05,0.000121243,0.000147755
SOM,0.014188468,0.085064963,0.012283395,0.008965399,0.007562849
SPM,0.0,0.0,0.0,0.0,5.47239e-06
SRB,0.005733696,0.007194549,0.002996594,0.003634001,0.005445033
SSD,0.000971813,0.008040967,0.00170291,0.001274686,0.001242234
STP,0.000161969,0.000423209,5.94038e-05,7.20902e-05,2.7362e-05
SUR,0.0005183,0.0,0.000712846,0.001120675,0.000733301
SVK,0.037350009,0.023276482,0.014441735,0.017750572,0.021955247
SVN,0.010722336,0.004232088,0.004263876,0.007297494,0.010589084
SWE,0.16635817,0.091624698,0.062182627,0.067768058,0.069433743
SWZ,0.000388725,0.002327648,0.000844855,0.000792992,0.000886528
SYC,0.004535127,0.021795252,0.003333216,0.003522589,0.003458553
SYR,0.037366206,0.086757798,0.034678646,0.027168172,0.023350708
