,year,soe,arrivals,state,population,migration_percentage_2020,total_arrivals,state_percentage_of_total
0,2020,Johor,3391945,Johor,4009.7,84593.48579694242,6172008,54.95691191586272
1,2020,Kedah,289242,Kedah,2131.4,13570.517031059395,6172008,4.686351670315398
2,2020,Kelantan,100375,Kelantan,1792.5,5599.721059972106,6172008,1.6262940683161784
3,2020,Melaka,10303,Melaka,998.4,1031.9511217948718,6172008,0.16693108628504694
4,2020,Negeri Sembilan,8352,Negeri Sembilan,1200.0,696.0,6172008,0.1353206282299051
5,2020,Pahang,1792,Pahang,1591.3,112.61232954188401,6172008,0.02903431103783404
6,2020,Perak,46530,Perak,2496.0,1864.1826923076924,6172008,0.75388755166876
7,2020,Perlis,161218,Perlis,284.9,56587.57458757459,6172008,2.6120834580901384
8,2020,Pulau Pinang,135829,Pulau Pinang,1740.4,7804.470236727188,6172008,2.2007262466283257
9,2020,Sabah,102507,Sabah,3418.8,2998.332748332748,6172008,1.6608371214036015
10,2020,Sarawak,297383,Sarawak,2453.7,12119.778294004973,6172008,4.818253638038058
11,2020,Selangor,1619117,Selangor,6994.4,23148.761866636167,6172008,26.2332291208955
12,2020,Terengganu,49,Terengganu,1149.4,4.263093788063337,6172008,0.0007939069424407745
13,2020,W.P. Labuan,7366,W.P. Labuan,95.1,7745.531019978969,6172008,0.11934527628609684
14,2021,Johor,8627,Johor,4009.7,215.15325336060056,470559,1.833351396955536
15,2021,Kedah,215047,Kedah,2131.4,10089.471708736042,470559,45.70032663279206
16,2021,Kelantan,27,Kelantan,1792.5,1.506276150627615,470559,0.005737856464332846
17,2021,Melaka,7,Melaka,998.4,0.7011217948717949,470559,0.001487592416678886
18,2021,Negeri Sembilan,0,Negeri Sembilan,1200.0,0.0,470559,0.0
19,2021,Pahang,7,Pahang,1591.3,0.4398919122729844,470559,0.001487592416678886
20,2021,Perak,69,Perak,2496.0,2.7644230769230766,470559,0.014663410964406163
21,2021,Perlis,100921,Perlis,284.9,35423.30642330643,470559,21.447044897664266
22,2021,Pulau Pinang,2639,Pulau Pinang,1740.4,151.63180877959087,470559,0.56082234108794
23,2021,Sabah,156,Sabah,3418.8,4.563004563004562,470559,0.03315205957170089
24,2021,Sarawak,9907,Sarawak,2453.7,403.75759057749525,470559,2.1053682960053894
25,2021,Selangor,133015,Selangor,6994.4,1901.7356742536886,470559,28.267443614934578
26,2021,Terengganu,47,Terengganu,1149.4,4.089089959979119,470559,0.009988120511986807
27,2021,W.P. Labuan,90,W.P. Labuan,95.1,94.63722397476342,470559,0.019126188214442823
28,2022,Johor,9374160,Johor,4009.7,233787.06636406714,15148512,61.88172145224561
29,2022,Kedah,537127,Kedah,2131.4,25200.666228769824,15148512,3.5457409942309845
30,2022,Kelantan,186149,Kelantan,1792.5,10384.881450488145,15148512,1.2288269633347486
31,2022,Melaka,49385,Melaka,998.4,4946.414262820513,15148512,0.32600561692131874
32,2022,Negeri Sembilan,50226,Negeri Sembilan,1200.0,4185.5,15148512,0.33155731731274996
33,2022,Pahang,1603,Pahang,1591.3,100.73524791051342,15148512,0.010581897416723175
34,2022,Perak,92868,Perak,2496.0,3720.6730769230767,15148512,0.6130503114761371
35,2022,Perlis,437251,Perlis,284.9,153475.2544752545,15148512,2.8864287132623985
36,2022,Pulau Pinang,390584,Pulau Pinang,1740.4,22442.197196046884,15148512,2.5783654526596407
37,2022,Sabah,142154,Sabah,3418.8,4158.008658008658,15148512,0.9384023988626737
38,2022,Sarawak,628152,Sarawak,2453.7,25600.195622936793,15148512,4.1466250942666845
39,2022,Selangor,3252445,Selangor,6994.4,46500.70056044836,15148512,21.47039260357717
40,2022,Terengganu,33,Terengganu,1149.4,2.871063163389594,15148512,0.0002178431782606767
41,2022,W.P. Labuan,6375,W.P. Labuan,95.1,6703.470031545741,15148512,0.04208334125490345
42,2023,Johor,17211075,Johor,4009.7,429235.97775394673,30515304,56.40145351329288
43,2023,Kedah,1067038,Kedah,2131.4,50062.77564042413,30515304,3.4967306896238033
44,2023,Kelantan,547203,Kelantan,1792.5,30527.364016736403,30515304,1.7932084176516805
45,2023,Melaka,56977,Melaka,998.4,5706.83092948718,30515304,0.186716147412459
46,2023,Negeri Sembilan,85615,Negeri Sembilan,1200.0,7134.583333333333,30515304,0.2805641392266648
47,2023,Pahang,9211,Pahang,1591.3,578.8349148494941,30515304,0.03018485413089773
48,2023,Perak,229234,Perak,2496.0,9184.054487179488,30515304,0.7512099502597123
49,2023,Perlis,686268,Perlis,284.9,240880.3088803089,30515304,2.248930569395606
50,2023,Pulau Pinang,1033007,Pulau Pinang,1740.4,59354.5736612273,30515304,3.3852095984362474
51,2023,Sabah,354341,Sabah,3418.8,10364.484614484614,30515304,1.1611911190529185
52,2023,Sarawak,1659515,Sarawak,2453.7,67633.1662387415,30515304,5.438304006409375
53,2023,Selangor,7553241,Selangor,6994.4,107989.8347249228,30515304,24.75230461410445
54,2023,Terengganu,52,Terengganu,1149.4,4.524099530189664,30515304,0.00017040629842652067
55,2023,W.P. Labuan,22527,W.P. Labuan,95.1,23687.697160883283,30515304,0.07382197470488906
56,2024,Johor,9935510,Johor,4009.7,247786.86684789386,18271512,54.37705429085453
57,2024,Kedah,545741,Kedah,2131.4,25604.813737449564,18271512,2.9868409357693
58,2024,Kelantan,336325,Kelantan,1792.5,18762.900976290097,18271512,1.8407069978664055
59,2024,Melaka,23987,Melaka,998.4,2402.5440705128203,18271512,0.13128087046107625
60,2024,Negeri Sembilan,36289,Negeri Sembilan,1200.0,3024.0833333333335,18271512,0.19860972644190583
61,2024,Pahang,5425,Pahang,1591.3,340.9162320115629,18271512,0.0296910294013982
62,2024,Perak,114713,Perak,2496.0,4595.8733974358975,18271512,0.6278243420686805
63,2024,Perlis,336704,Perlis,284.9,118183.22218322218,18271512,1.8427812651738946
64,2024,Pulau Pinang,607978,Pulau Pinang,1740.4,34933.233739370255,18271512,3.3274640872632766
65,2024,Sabah,333854,Sabah,3418.8,9765.239265239265,18271512,1.8271832128616394
66,2024,Sarawak,1226087,Sarawak,2453.7,49968.9041040062,18271512,6.710375145746012
67,2024,Selangor,4757639,Selangor,6994.4,68020.6879789546,18271512,26.038562106956448
68,2024,Terengganu,82,Terengganu,1149.4,7.1341569514529315,18271512,0.0004487860665280465
69,2024,W.P. Labuan,11178,W.P. Labuan,95.1,11753.943217665616,18271512,0.06117720306890859
