year,soe,arrivals
2020,Johor,3391945
2020,Kedah,289242
2020,Kelantan,100375
2020,Melaka,10303
2020,Negeri Sembilan,8352
2020,Pahang,1792
2020,Perak,46530
2020,Perlis,161218
2020,Pulau Pinang,135829
2020,Sabah,102507
2020,Sarawak,297383
2020,Selangor,1619117
2020,Terengganu,49
2020,W.P. Labuan,7366
2021,Johor,8627
2021,Kedah,215047
2021,Kelantan,27
2021,Melaka,7
2021,Negeri Sembilan,0
2021,Pahang,7
2021,Perak,69
2021,Perlis,100921
2021,Pulau Pinang,2639
2021,Sabah,156
2021,Sarawak,9907
2021,Selangor,133015
2021,Terengganu,47
2021,W.P. Labuan,90
2022,Johor,9374160
2022,Kedah,537127
2022,Kelantan,186149
2022,Melaka,49385
2022,Negeri Sembilan,50226
2022,Pahang,1603
2022,Perak,92868
2022,Perlis,437251
2022,Pulau Pinang,390584
2022,Sabah,142154
2022,Sarawak,628152
2022,Selangor,3252445
2022,Terengganu,33
2022,W.P. Labuan,6375
2023,Johor,17211075
2023,Kedah,1067038
2023,Kelantan,547203
2023,Melaka,56977
2023,Negeri Sembilan,85615
2023,Pahang,9211
2023,Perak,229234
2023,Perlis,686268
2023,Pulau Pinang,1033007
2023,Sabah,354341
2023,Sarawak,1659515
2023,Selangor,7553241
2023,Terengganu,52
2023,W.P. Labuan,22527
2024,Johor,9935510
2024,Kedah,545741
2024,Kelantan,336325
2024,Melaka,23987
2024,Negeri Sembilan,36289
2024,Pahang,5425
2024,Perak,114713
2024,Perlis,336704
2024,Pulau Pinang,607978
2024,Sabah,333854
2024,Sarawak,1226087
2024,Selangor,4757639
2024,Terengganu,82
2024,W.P. Labuan,11178
