country_name,continent,year,month,monthly_total
Afghanistan,Asia,2020,April,0
Afghanistan,Asia,2020,August,2
Afghanistan,Asia,2020,December,2
Afghanistan,Asia,2020,February,254
Afghanistan,Asia,2020,January,183
Afghanistan,Asia,2020,July,6
Afghanistan,Asia,2020,June,1
Afghanistan,Asia,2020,March,87
Afghanistan,Asia,2020,May,1
Afghanistan,Asia,2020,November,4
Afghanistan,Asia,2020,October,12
Afghanistan,Asia,2020,September,12
Afghanistan,Asia,2021,April,30
Afghanistan,Asia,2021,August,15
Afghanistan,Asia,2021,December,68
Afghanistan,Asia,2021,February,17
Afghanistan,Asia,2021,January,15
Afghanistan,Asia,2021,July,10
Afghanistan,Asia,2021,June,6
Afghanistan,Asia,2021,March,36
Afghanistan,Asia,2021,May,26
Afghanistan,Asia,2021,November,57
Afghanistan,Asia,2021,October,16
Afghanistan,Asia,2021,September,8
Afghanistan,Asia,2022,April,103
Afghanistan,Asia,2022,August,74
Afghanistan,Asia,2022,December,35
Afghanistan,Asia,2022,February,76
Afghanistan,Asia,2022,January,65
Afghanistan,Asia,2022,July,63
Afghanistan,Asia,2022,June,102
Afghanistan,Asia,2022,March,94
Afghanistan,Asia,2022,May,127
Afghanistan,Asia,2022,November,27
Afghanistan,Asia,2022,October,48
Afghanistan,Asia,2022,September,51
Afghanistan,Asia,2023,April,35
Afghanistan,Asia,2023,August,94
Afghanistan,Asia,2023,December,73
Afghanistan,Asia,2023,February,40
Afghanistan,Asia,2023,January,60
Afghanistan,Asia,2023,July,71
Afghanistan,Asia,2023,June,44
Afghanistan,Asia,2023,March,30
Afghanistan,Asia,2023,May,54
Afghanistan,Asia,2023,November,44
Afghanistan,Asia,2023,October,73
Afghanistan,Asia,2023,September,66
Afghanistan,Asia,2024,April,77
Afghanistan,Asia,2024,February,54
Afghanistan,Asia,2024,January,74
Afghanistan,Asia,2024,June,36
Afghanistan,Asia,2024,March,47
Afghanistan,Asia,2024,May,45
Albania,Europe,2020,April,0
Albania,Europe,2020,August,0
Albania,Europe,2020,December,1
Albania,Europe,2020,February,57
Albania,Europe,2020,January,109
Albania,Europe,2020,July,0
Albania,Europe,2020,June,0
Albania,Europe,2020,March,27
Albania,Europe,2020,May,0
Albania,Europe,2020,November,0
Albania,Europe,2020,October,3
Albania,Europe,2020,September,0
Albania,Europe,2021,April,4
Albania,Europe,2021,August,0
Albania,Europe,2021,December,5
Albania,Europe,2021,February,0
Albania,Europe,2021,January,1
Albania,Europe,2021,July,0
Albania,Europe,2021,June,1
Albania,Europe,2021,March,0
Albania,Europe,2021,May,1
Albania,Europe,2021,November,0
Albania,Europe,2021,October,1
Albania,Europe,2021,September,2
Albania,Europe,2022,April,19
Albania,Europe,2022,August,54
Albania,Europe,2022,December,53
Albania,Europe,2022,February,3
Albania,Europe,2022,January,5
Albania,Europe,2022,July,33
Albania,Europe,2022,June,13
Albania,Europe,2022,March,3
Albania,Europe,2022,May,20
Albania,Europe,2022,November,41
Albania,Europe,2022,October,64
Albania,Europe,2022,September,42
Albania,Europe,2023,April,45
Albania,Europe,2023,August,68
Albania,Europe,2023,December,74
Albania,Europe,2023,February,37
Albania,Europe,2023,January,55
Albania,Europe,2023,July,47
Albania,Europe,2023,June,26
Albania,Europe,2023,March,51
Albania,Europe,2023,May,47
Albania,Europe,2023,November,55
Albania,Europe,2023,October,62
Albania,Europe,2023,September,60
Albania,Europe,2024,April,51
Albania,Europe,2024,February,46
Albania,Europe,2024,January,73
Albania,Europe,2024,June,46
Albania,Europe,2024,March,102
Albania,Europe,2024,May,42
Algeria,Africa,2020,April,0
Algeria,Africa,2020,August,5
Algeria,Africa,2020,December,9
Algeria,Africa,2020,February,916
Algeria,Africa,2020,January,783
Algeria,Africa,2020,July,4
Algeria,Africa,2020,June,1
Algeria,Africa,2020,March,367
Algeria,Africa,2020,May,0
Algeria,Africa,2020,November,4
Algeria,Africa,2020,October,1
Algeria,Africa,2020,September,2
Algeria,Africa,2021,April,3
Algeria,Africa,2021,August,12
Algeria,Africa,2021,December,45
Algeria,Africa,2021,February,4
Algeria,Africa,2021,January,9
Algeria,Africa,2021,July,3
Algeria,Africa,2021,June,11
Algeria,Africa,2021,March,4
Algeria,Africa,2021,May,4
Algeria,Africa,2021,November,26
Algeria,Africa,2021,October,11
Algeria,Africa,2021,September,26
Algeria,Africa,2022,April,119
Algeria,Africa,2022,August,929
Algeria,Africa,2022,December,322
Algeria,Africa,2022,February,47
Algeria,Africa,2022,January,50
Algeria,Africa,2022,July,289
Algeria,Africa,2022,June,222
Algeria,Africa,2022,March,54
Algeria,Africa,2022,May,225
Algeria,Africa,2022,November,491
Algeria,Africa,2022,October,451
Algeria,Africa,2022,September,501
Algeria,Africa,2023,April,289
Algeria,Africa,2023,August,3192
Algeria,Africa,2023,December,987
Algeria,Africa,2023,February,404
Algeria,Africa,2023,January,500
Algeria,Africa,2023,July,1172
Algeria,Africa,2023,June,503
Algeria,Africa,2023,March,414
Algeria,Africa,2023,May,656
Algeria,Africa,2023,November,795
Algeria,Africa,2023,October,1186
Algeria,Africa,2023,September,1716
Algeria,Africa,2024,April,513
Algeria,Africa,2024,February,865
Algeria,Africa,2024,January,1018
Algeria,Africa,2024,June,815
Algeria,Africa,2024,March,395
Algeria,Africa,2024,May,962
