country_name,continent,year,month,monthly_total
Algeria,Africa,2020,April,0
Algeria,Africa,2020,August,5
Algeria,Africa,2020,December,9
Algeria,Africa,2020,February,916
Algeria,Africa,2020,January,783
Algeria,Africa,2020,July,4
Algeria,Africa,2020,June,1
Algeria,Africa,2020,March,367
Algeria,Africa,2020,May,0
Algeria,Africa,2020,November,4
Algeria,Africa,2020,October,1
Algeria,Africa,2020,September,2
Algeria,Africa,2021,April,3
Algeria,Africa,2021,August,12
Algeria,Africa,2021,December,45
Algeria,Africa,2021,February,4
Algeria,Africa,2021,January,9
Algeria,Africa,2021,July,3
Algeria,Africa,2021,June,11
Algeria,Africa,2021,March,4
Algeria,Africa,2021,May,4
Algeria,Africa,2021,November,26
Algeria,Africa,2021,October,11
Algeria,Africa,2021,September,26
Algeria,Africa,2022,April,119
Algeria,Africa,2022,August,929
Algeria,Africa,2022,December,322
Algeria,Africa,2022,February,47
Algeria,Africa,2022,January,50
Algeria,Africa,2022,July,289
Algeria,Africa,2022,June,222
Algeria,Africa,2022,March,54
Algeria,Africa,2022,May,225
Algeria,Africa,2022,November,491
Algeria,Africa,2022,October,451
Algeria,Africa,2022,September,501
Algeria,Africa,2023,April,289
Algeria,Africa,2023,August,3192
Algeria,Africa,2023,December,987
Algeria,Africa,2023,February,404
Algeria,Africa,2023,January,500
Algeria,Africa,2023,July,1172
Algeria,Africa,2023,June,503
Algeria,Africa,2023,March,414
Algeria,Africa,2023,May,656
Algeria,Africa,2023,November,795
Algeria,Africa,2023,October,1186
Algeria,Africa,2023,September,1716
Algeria,Africa,2024,April,513
Algeria,Africa,2024,February,865
Algeria,Africa,2024,January,1018
Algeria,Africa,2024,June,815
Algeria,Africa,2024,March,395
Algeria,Africa,2024,May,962
Argentina,South America,2020,April,0
Argentina,South America,2020,August,2
Argentina,South America,2020,December,10
Argentina,South America,2020,February,824
Argentina,South America,2020,January,1467
Argentina,South America,2020,July,4
Argentina,South America,2020,June,0
Argentina,South America,2020,March,511
Argentina,South America,2020,May,0
Argentina,South America,2020,November,3
Argentina,South America,2020,October,1
Argentina,South America,2020,September,1
Argentina,South America,2021,April,2
Argentina,South America,2021,August,19
Argentina,South America,2021,December,11
Argentina,South America,2021,February,4
Argentina,South America,2021,January,13
Argentina,South America,2021,July,10
Argentina,South America,2021,June,7
Argentina,South America,2021,March,8
Argentina,South America,2021,May,6
Argentina,South America,2021,November,1
Argentina,South America,2021,October,12
Argentina,South America,2021,September,4
Argentina,South America,2022,April,100
Argentina,South America,2022,August,259
Argentina,South America,2022,December,311
Argentina,South America,2022,February,19
Argentina,South America,2022,January,42
Argentina,South America,2022,July,282
Argentina,South America,2022,June,184
Argentina,South America,2022,March,25
Argentina,South America,2022,May,172
Argentina,South America,2022,November,361
Argentina,South America,2022,October,381
Argentina,South America,2022,September,296
Argentina,South America,2023,April,523
Argentina,South America,2023,August,484
Argentina,South America,2023,December,628
Argentina,South America,2023,February,456
Argentina,South America,2023,January,710
Argentina,South America,2023,July,503
Argentina,South America,2023,June,313
Argentina,South America,2023,March,536
Argentina,South America,2023,May,457
Argentina,South America,2023,November,556
Argentina,South America,2023,October,512
Argentina,South America,2023,September,484
Argentina,South America,2024,April,657
Argentina,South America,2024,February,782
Argentina,South America,2024,January,1211
Argentina,South America,2024,June,549
Argentina,South America,2024,March,767
Argentina,South America,2024,May,571
Australia,Oceania,2020,April,9
Australia,Oceania,2020,August,125
Australia,Oceania,2020,December,123
Australia,Oceania,2020,February,22818
Australia,Oceania,2020,January,51998
Australia,Oceania,2020,July,172
Australia,Oceania,2020,June,41
Australia,Oceania,2020,March,9409
Australia,Oceania,2020,May,42
Australia,Oceania,2020,November,175
Australia,Oceania,2020,October,101
Australia,Oceania,2020,September,135
Australia,Oceania,2021,April,113
Australia,Oceania,2021,August,147
Australia,Oceania,2021,December,628
Australia,Oceania,2021,February,87
Australia,Oceania,2021,January,152
Australia,Oceania,2021,July,99
Australia,Oceania,2021,June,55
Australia,Oceania,2021,March,94
Australia,Oceania,2021,May,78
Australia,Oceania,2021,November,221
Australia,Oceania,2021,October,125
Australia,Oceania,2021,September,101
Australia,Oceania,2022,April,7148
Australia,Oceania,2022,August,16843
Australia,Oceania,2022,December,40002
Australia,Oceania,2022,February,570
Australia,Oceania,2022,January,973
Australia,Oceania,2022,July,18810
Australia,Oceania,2022,June,13292
Australia,Oceania,2022,March,834
Australia,Oceania,2022,May,9469
Australia,Oceania,2022,November,25521
Australia,Oceania,2022,October,24169
Australia,Oceania,2022,September,21744
Australia,Oceania,2023,April,33383
Australia,Oceania,2023,August,28940
Australia,Oceania,2023,December,54673
Australia,Oceania,2023,February,23413
Australia,Oceania,2023,January,43421
Australia,Oceania,2023,July,39291
Australia,Oceania,2023,June,26137
Australia,Oceania,2023,March,26635
Australia,Oceania,2023,May,25757
Australia,Oceania,2023,November,35471
Australia,Oceania,2023,October,33023
Australia,Oceania,2023,September,38952
Australia,Oceania,2024,April,32868
Australia,Oceania,2024,February,30128
Australia,Oceania,2024,January,50374
Australia,Oceania,2024,June,39022
Australia,Oceania,2024,March,34288
Australia,Oceania,2024,May,26870
Bangladesh,Asia,2020,April,2
Bangladesh,Asia,2020,August,176
Bangladesh,Asia,2020,December,60
Bangladesh,Asia,2020,February,19668
Bangladesh,Asia,2020,January,26955
Bangladesh,Asia,2020,July,108
Bangladesh,Asia,2020,June,39
Bangladesh,Asia,2020,March,10369
Bangladesh,Asia,2020,May,10
Bangladesh,Asia,2020,November,69
Bangladesh,Asia,2020,October,63
Bangladesh,Asia,2020,September,151
Bangladesh,Asia,2021,April,271
Bangladesh,Asia,2021,August,16
Bangladesh,Asia,2021,December,5752
Bangladesh,Asia,2021,February,147
Bangladesh,Asia,2021,January,106
Bangladesh,Asia,2021,July,10
Bangladesh,Asia,2021,June,3
Bangladesh,Asia,2021,March,307
Bangladesh,Asia,2021,May,100
Bangladesh,Asia,2021,November,1098
Bangladesh,Asia,2021,October,217
Bangladesh,Asia,2021,September,34
Bangladesh,Asia,2022,April,9123
Bangladesh,Asia,2022,August,26179
Bangladesh,Asia,2022,December,39820
Bangladesh,Asia,2022,February,5715
Bangladesh,Asia,2022,January,5393
Bangladesh,Asia,2022,July,18164
Bangladesh,Asia,2022,June,14915
Bangladesh,Asia,2022,March,8955
Bangladesh,Asia,2022,May,13343
Bangladesh,Asia,2022,November,36928
Bangladesh,Asia,2022,October,33524
Bangladesh,Asia,2022,September,27085
Bangladesh,Asia,2023,April,43311
Bangladesh,Asia,2023,August,75514
Bangladesh,Asia,2023,December,42113
Bangladesh,Asia,2023,February,59350
Bangladesh,Asia,2023,January,51838
Bangladesh,Asia,2023,July,61537
Bangladesh,Asia,2023,June,51768
Bangladesh,Asia,2023,March,62977
Bangladesh,Asia,2023,May,48550
Bangladesh,Asia,2023,November,38951
Bangladesh,Asia,2023,October,43290
Bangladesh,Asia,2023,September,56346
Bangladesh,Asia,2024,April,28449
Bangladesh,Asia,2024,February,31793
Bangladesh,Asia,2024,January,41412
Bangladesh,Asia,2024,June,29387
Bangladesh,Asia,2024,March,26625
Bangladesh,Asia,2024,May,67316
Bolivia,South America,2020,April,0
Bolivia,South America,2020,August,0
Bolivia,South America,2020,December,0
Bolivia,South America,2020,February,22
Bolivia,South America,2020,January,38
Bolivia,South America,2020,July,0
Bolivia,South America,2020,June,0
Bolivia,South America,2020,March,12
Bolivia,South America,2020,May,0
Bolivia,South America,2020,November,0
Bolivia,South America,2020,October,0
Bolivia,South America,2020,September,2
Bolivia,South America,2021,April,0
Bolivia,South America,2021,August,0
Bolivia,South America,2021,December,0
Bolivia,South America,2021,February,0
Bolivia,South America,2021,January,0
Bolivia,South America,2021,July,1
Bolivia,South America,2021,June,0
Bolivia,South America,2021,March,0
Bolivia,South America,2021,May,0
Bolivia,South America,2021,November,0
Bolivia,South America,2021,October,1
Bolivia,South America,2021,September,0
Bolivia,South America,2022,April,2
Bolivia,South America,2022,August,19
Bolivia,South America,2022,December,21
Bolivia,South America,2022,February,1
Bolivia,South America,2022,January,0
Bolivia,South America,2022,July,12
Bolivia,South America,2022,June,10
Bolivia,South America,2022,March,1
Bolivia,South America,2022,May,25
Bolivia,South America,2022,November,32
Bolivia,South America,2022,October,24
Bolivia,South America,2022,September,29
Bolivia,South America,2023,April,28
Bolivia,South America,2023,August,40
Bolivia,South America,2023,December,29
Bolivia,South America,2023,February,16
Bolivia,South America,2023,January,49
Bolivia,South America,2023,July,51
Bolivia,South America,2023,June,9
