country_name,year,Male_Migrants,Female_Migrants,Total_Migrants,continent
Afghanistan,2020,451,113,564,Asia
Afghanistan,2021,215,89,304,Asia
Afghanistan,2022,634,231,865,Asia
Afghanistan,2023,514,170,684,Asia
Afghanistan,2024,287,96,383,Asia
Albania,2020,106,91,197,Europe
Albania,2021,10,5,15,Europe
Albania,2022,224,126,350,Europe
Albania,2023,422,205,627,Europe
Albania,2024,243,176,419,Europe
Algeria,2020,1517,575,2092,Africa
Algeria,2021,103,55,158,Africa
Algeria,2022,2336,1364,3700,Africa
Algeria,2023,7103,4711,11814,Africa
Algeria,2024,4057,2483,6540,Africa
Andorra,2020,9,6,15,Europe
Andorra,2021,0,0,0,Europe
Andorra,2022,17,19,36,Europe
Andorra,2023,47,41,88,Europe
Andorra,2024,51,34,85,Europe
Angola,2020,12,6,18,Africa
Angola,2021,3,1,4,Africa
Angola,2022,24,11,35,Africa
Angola,2023,60,18,78,Africa
Angola,2024,24,13,37,Africa
Anguilla,2020,0,0,0,North America
Anguilla,2021,0,0,0,North America
Anguilla,2022,1,0,1,North America
Anguilla,2023,1,0,1,North America
Anguilla,2024,1,2,3,North America
Antarctica,2020,0,1,1,
Antarctica,2021,0,0,0,
Antarctica,2022,1,1,2,
Antarctica,2023,1,1,2,
Antarctica,2024,1,0,1,
Antigua and Barbuda,2020,30,19,49,North America
Antigua and Barbuda,2021,1,1,2,North America
Antigua and Barbuda,2022,89,51,140,North America
Antigua and Barbuda,2023,186,90,276,North America
Antigua and Barbuda,2024,83,53,136,North America
Argentina,2020,1487,1336,2823,South America
Argentina,2021,59,38,97,South America
Argentina,2022,1412,1020,2432,South America
Argentina,2023,3345,2817,6162,South America
Argentina,2024,2578,2493,5071,South America
Armenia,2020,77,107,184,Asia
Armenia,2021,3,5,8,Asia
Armenia,2022,122,136,258,Asia
Armenia,2023,460,639,1099,Asia
Armenia,2024,274,391,665,Asia
Aruba,2020,0,0,0,North America
Aruba,2021,0,0,0,North America
Aruba,2022,0,2,2,North America
Aruba,2023,0,0,0,North America
Australia,2020,49523,35625,85148,Oceania
Australia,2021,1234,666,1900,Oceania
Australia,2022,105118,74257,179375,Oceania
Australia,2023,232754,176342,409096,Oceania
Australia,2024,144192,110216,254408,Oceania
Austria,2020,2361,1415,3776,Europe
Austria,2021,180,47,227,Europe
Austria,2022,4620,2406,7026,Europe
Austria,2023,8831,5527,14358,Europe
Austria,2024,6053,3949,10002,Europe
Azerbaijan,2020,195,127,322,Asia
Azerbaijan,2021,26,17,43,Asia
Azerbaijan,2022,372,273,645,Asia
Azerbaijan,2023,938,774,1712,Asia
Azerbaijan,2024,760,721,1481,Asia
Bahamas,2020,8,6,14,North America
Bahamas,2021,0,0,0,North America
Bahamas,2022,20,30,50,North America
Bahamas,2023,66,53,119,North America
Bahamas,2024,32,33,65,North America
Bahrain,2020,355,240,595,Asia
Bahrain,2021,17,10,27,Asia
Bahrain,2022,763,586,1349,Asia
Bahrain,2023,1520,1260,2780,Asia
Bahrain,2024,893,784,1677,Asia
Bangladesh,2020,50624,7046,57670,Asia
Bangladesh,2021,7267,794,8061,Asia
Bangladesh,2022,222698,16446,239144,Asia
Bangladesh,2023,606390,29155,635545,Asia
Bangladesh,2024,226418,20435,246853,Asia
Barbados,2020,6,15,21,North America
Barbados,2021,4,1,5,North America
Barbados,2022,25,26,51,North America
Barbados,2023,45,44,89,North America
Barbados,2024,33,42,75,North America
Belarus,2020,579,680,1259,Europe
Belarus,2021,8,4,12,Europe
Belarus,2022,644,716,1360,Europe
Belarus,2023,2398,2718,5116,Europe
Belarus,2024,1709,2006,3715,Europe
Belgium,2020,2930,1561,4491,Europe
Belgium,2021,183,67,250,Europe
Belgium,2022,5784,3362,9146,Europe
Belgium,2023,12532,8488,21020,Europe
Belgium,2024,9903,7486,17389,Europe
Belize,2020,12,9,21,North America
Belize,2021,2,4,6,North America
Belize,2022,24,27,51,North America
Belize,2023,73,67,140,North America
Belize,2024,42,32,74,North America
Benin,2020,10,6,16,Africa
Benin,2021,2,0,2,Africa
Benin,2022,47,17,64,Africa
Benin,2023,114,45,159,Africa
Benin,2024,63,25,88,Africa
Bermuda,2020,0,0,0,North America
Bermuda,2021,0,0,0,North America
Bermuda,2022,0,0,0,North America
Bermuda,2023,0,1,1,North America
Bermuda,2024,0,3,3,North America
Bhutan,2020,92,42,134,Asia
Bhutan,2021,13,4,17,Asia
Bhutan,2022,199,135,334,Asia
Bhutan,2023,456,217,673,Asia
Bhutan,2024,393,225,618,Asia
Bolivia,2020,37,37,74,South America
Bolivia,2021,1,1,2,South America
Bolivia,2022,103,73,176,South America
Bolivia,2023,342,281,623,South America
Bolivia,2024,107,95,202,South America
Bosnia and Herzegovina,2020,136,103,239,Europe
Bosnia and Herzegovina,2021,30,26,56,Europe
Bosnia and Herzegovina,2022,251,156,407,Europe
Bosnia and Herzegovina,2023,474,330,804,Europe
Bosnia and Herzegovina,2024,375,250,625,Europe
Botswana,2020,25,30,55,Africa
Botswana,2021,6,3,9,Africa
Botswana,2022,65,59,124,Africa
Botswana,2023,92,138,230,Africa
Botswana,2024,49,60,109,Africa
